Date;Open;High;Low;Close
19.09.2018;111660;111700;111650;111660
19.09.2018;111670;111710;111670;111670
19.09.2018;111680;111680;111620;111640
19.09.2018;111640;111650;111620;111650
19.09.2018;111650;111660;111630;111660
19.09.2018;111660;111670;111650;111650
19.09.2018;111660;111660;111630;111650
19.09.2018;111650;111650;111540;111560
19.09.2018;111580;111590;111530;111570
19.09.2018;111580;111790;111570;111780
19.09.2018;111790;111950;111760;111910
19.09.2018;111910;111960;111860;111930
19.09.2018;111950;111960;111860;111860
19.09.2018;111860;111860;111810;111820
19.09.2018;111820;111840;111780;111800
19.09.2018;111800;111840;111780;111840
19.09.2018;111840;111870;111780;111840
19.09.2018;111820;111840;111770;111800
19.09.2018;111800;111830;111770;111780
19.09.2018;111770;111790;111750;111790
19.09.2018;111790;111850;111770;111850
19.09.2018;111830;111890;111830;111870
19.09.2018;111880;111890;111820;111850
19.09.2018;111850;111860;111820;111840
19.09.2018;111850;111870;111810;111820
19.09.2018;111820;111830;111810;111810
19.09.2018;111820;111840;111800;111810
19.09.2018;111820;111850;111800;111840
19.09.2018;111840;111850;111800;111830
19.09.2018;111840;111910;111830;111910
19.09.2018;111900;111950;111890;111910
19.09.2018;111910;111910;111870;111870
19.09.2018;111880;112000;111880;111990
19.09.2018;112000;112030;111970;112010
19.09.2018;112010;112030;111970;112010
19.09.2018;112010;112010;111980;111990
19.09.2018;112000;112120;111970;112080
19.09.2018;112080;112120;112060;112090
19.09.2018;112080;112140;112080;112120
19.09.2018;112130;112130;112090;112090
19.09.2018;112080;112120;112080;112110
19.09.2018;112120;112130;112020;112050
19.09.2018;112060;112090;112000;112000
19.09.2018;112000;112040;111980;112020
19.09.2018;112030;112030;111970;112000
19.09.2018;112000;112010;111960;111990
19.09.2018;112000;112010;111920;111950
19.09.2018;111970;111990;111950;111980
19.09.2018;111990;112010;111980;112010
19.09.2018;112020;112020;111980;111980
19.09.2018;111990;112010;111980;112010
19.09.2018;112010;112020;111990;112000
19.09.2018;112000;112010;111950;111950
19.09.2018;111970;111980;111940;111950
19.09.2018;111950;112030;111940;111990
19.09.2018;111990;112040;111970;111980
19.09.2018;111980;112000;111960;111960
19.09.2018;111990;112000;111950;111970
19.09.2018;111980;111990;111940;111960
19.09.2018;111950;111970;111940;111940
19.09.2018;111940;111960;111930;111940
19.09.2018;111940;111950;111920;111940
19.09.2018;111950;111970;111910;111920
19.09.2018;111920;111920;111900;111910
19.09.2018;111900;111910;111830;111860
19.09.2018;111860;111880;111840;111850
19.09.2018;111850;111930;111850;111900
19.09.2018;111910;111930;111870;111880
19.09.2018;111880;111890;111840;111840
19.09.2018;111850;111870;111800;111820
19.09.2018;111820;111840;111800;111810
19.09.2018;111820;111830;111800;111800
19.09.2018;111800;111850;111800;111830
19.09.2018;111830;111880;111820;111840
19.09.2018;111840;111870;111820;111860
19.09.2018;111870;111910;111850;111870
